Nome_Original,Nota_Original,Variacao_1,Dominio_1,Variacao_2,Dominio_2,Variacao_3,Dominio_3,Variacao_4,Dominio_4,Variacao_5,Dominio_5,Melhor_Variacao,Observacoes
Uniimo,27,Uniimov,uniimov.com.br,Uniimoo,uniimoo.com.br,Uniimob,uniimob.com.br,Uniimmo,uniimmo.com.br,Uniimus,uniimus.com.br,Uniimov,Movimento
Proppio,24,Proppyo,proppyo.com.br,Proppius,proppius.com.br,Proppium,proppium.com.br,Proppioo,proppioo.com.br,Proppea,proppea.com.br,Proppius,Latino
Proppix,25,Proppixx,proppixx.com.br,Proppyx,proppyx.com.br,Proppics,proppics.com.br,Proppixa,proppixa.com.br,Proppixo,proppixo.com.br,Proppyx,Y tech
Propzzy,25,Propzzio,propzzio.com.br,Propzzia,propzzia.com.br,Propzzee,propzzee.com.br,Propzzly,propzzly.com.br,Propzzyx,propzzyx.com.br,Propzzio,IO tech
Leadzy,25,Leadzzy,leadzzy.com.br,Leadzie,leadzie.com.br,Leadzio,leadzio.com.br,Leadzyx,leadzyx.com.br,Leadzee,leadzee.com.br,Leadzio,IO tech
Leadix,25,Leadixx,leadixx.com.br,Leadyx,leadyx.com.br,Leadics,leadics.com.br,Leadixa,leadixa.com.br,Leadixo,leadixo.com.br,Leadyx,Y tech
Brokky,25,Brokkyo,brokkyo.com.br,Brokkee,brokkee.com.br,Brokkix,brokkix.com.br,Brokkz,brokkz.com.br,Brokkia,brokkia.com.br,Brokkyo,YO jovem
Brokzy,25,Brokzzy,brokzzy.com.br,Brokzie,brokzie.com.br,Brokzio,brokzio.com.br,Brokzyx,brokzyx.com.br,Brokzee,brokzee.com.br,Brokzio,IO tech
Listzy,25,Listzzy,listzzy.com.br,Listzie,listzie.com.br,Listzio,listzio.com.br,Listzyx,listzyx.com.br,Listzee,listzee.com.br,Listzio,IO tech
Listiq,25,Listiqq,listiqq.com.br,Listiqa,listiqa.com.br,Listiqo,listiqo.com.br,Listique,listique.com.br,Listiqz,listiqz.com.br,Listique,Frances chique
Dashy,25,Dashyo,dashyo.com.br,Dashyy,dashyy.com.br,Dashee,dashee.com.br,Dashia,dashia.com.br,Dashyx,dashyx.com.br,Dashio,IO (ja existe)
Dazza,25,Dazzio,dazzio.com.br,Dazzee,dazzee.com.br,Dazzia,dazzia.com.br,Dazzly,dazzly.com.br,Dazzyx,dazzyx.com.br,Dazzio,IO tech
Marketzy,25,Marketzzy,marketzzy.com.br,Marketzie,marketzie.com.br,Marketzio,marketzio.com.br,Marketzyx,marketzyx.com.br,Marketzee,marketzee.com.br,Marketzio,IO tech
Unikko,25,Unikkoo,unikkoo.com.br,Unikko,unikko.com.br,Unikkio,unikkio.com.br,Unikka,unikka.com.br,Unikkz,unikkz.com.br,Unikkoo,Finlandes
Sluggo,25,Sluggoo,sluggoo.com.br,Sluggio,sluggio.com.br,Slugga,slugga.com.br,Sluggz,sluggz.com.br,Sluggyx,sluggyx.com.br,Sluggio,IO tech
Slugzy,25,Slugzzy,slugzzy.com.br,Slugzie,slugzie.com.br,Slugzio,slugzio.com.br,Slugzyx,slugzyx.com.br,Slugzee,slugzee.com.br,Slugzio,IO tech
Tokko,25,Tokkoo,tokkoo.com.br,Tokkio,tokkio.com.br,Tokka,tokka.com.br,Tokkz,tokkz.com.br,Tokkyx,tokkyx.com.br,Tokkio,IO tech
Tokzy,25,Tokzzy,tokzzy.com.br,Tokzie,tokzie.com.br,Tokzio,tokzio.com.br,Tokzyx,tokzyx.com.br,Tokzee,tokzee.com.br,Tokzio,IO tech
Ownzy,25,Ownzzy,ownzzy.com.br,Ownzie,ownzie.com.br,Ownzio,ownzio.com.br,Ownzyx,ownzyx.com.br,Ownzee,ownzee.com.br,Ownzio,IO tech
Imovzy,26,Imovzzy,imovzzy.com.br,Imovzie,imovzie.com.br,Imovzio,imovzio.com.br,Imovzyx,imovzyx.com.br,Imovzee,imovzee.com.br,Imovzio,IO tech
